Sl. No.,Polling Station No.,ASIT MITRA,DEBTANU BHATTACHARYA,SUKANTA KUMAR PAUL,SANJEEB SANTRA,DILIP KUMAR HAIT,BISWANATH DAS,RATAN CHANDRA MALICK,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,102,181,370,2,0,1,1,657,0,3,660,0
2,2,22,249,200,3,0,6,5,485,0,5,490,0
3,2A,43,248,179,1,0,3,1,475,0,2,477,0
4,3,53,292,173,5,2,0,1,526,0,2,528,0
5,3A,108,49,433,2,0,4,0,596,0,3,599,0
6,4,75,227,220,3,0,3,1,529,0,7,536,0
7,5,90,172,243,0,1,3,4,513,0,3,516,0
8,6,53,126,248,6,0,1,0,434,0,4,438,0
9,6A,47,116,231,3,2,7,2,408,0,5,413,0
10,7,42,275,280,3,0,4,1,605,0,2,607,0
11,8,92,27,374,1,0,6,1,501,0,3,504,0
12,8A,56,256,262,2,2,4,1,583,0,1,584,0
13,9,23,364,349,4,0,1,4,745,0,5,750,0
14,10,55,169,180,1,1,1,2,409,0,1,410,0
15,10A,89,180,311,1,4,5,1,591,0,3,594,0
16,11,21,307,361,1,1,4,3,698,0,1,699,0
17,12,8,218,175,4,0,1,1,407,0,0,407,0
18,13,19,265,234,4,3,7,2,534,0,2,536,0
19,13A,15,243,220,2,2,1,0,483,0,1,484,0
20,14,28,406,308,2,2,3,0,749,0,6,755,0
21,15,99,168,392,5,4,9,3,680,0,6,686,0
22,16,10,421,253,6,4,5,12,711,0,10,721,0
23,17,2,216,224,5,1,2,1,451,0,1,452,0
24,18,86,142,270,4,0,7,2,511,0,2,513,0
25,18A,32,136,207,3,0,1,0,379,0,5,384,0
26,19,76,84,334,1,0,1,2,498,0,1,499,0
27,19A,9,107,357,4,0,4,1,482,0,2,484,0
28,20,76,255,323,3,1,3,3,664,0,5,669,0
29,21,85,243,251,2,2,3,0,586,0,3,589,0
30,22,19,331,267,2,3,4,1,627,0,0,627,0
31,23,42,339,415,3,2,8,3,812,0,5,817,0
32,24,18,209,201,0,2,2,1,433,0,2,435,0
33,25,19,273,237,2,4,4,5,544,0,4,548,0
34,26,27,383,309,2,1,2,1,725,0,4,729,0
35,27,22,237,215,2,1,10,7,494,0,3,497,0
36,27A,14,235,167,2,1,4,0,423,0,2,425,0
37,28,18,354,324,5,1,2,2,706,0,4,710,0
38,29,22,355,533,2,4,8,3,927,0,1,928,0
39,30,11,342,385,3,1,4,1,747,0,3,750,0
40,31,24,399,314,7,5,6,7,762,0,8,770,0
41,32,18,197,251,4,3,4,2,479,0,8,487,0
42,32A,17,188,182,3,2,9,4,405,0,7,412,0
43,33,13,175,236,5,2,6,3,440,0,4,444,0
44,33A,22,233,251,5,1,1,2,515,0,4,519,0
45,34,31,299,283,1,2,5,2,623,0,3,626,0
46,35,34,279,293,6,0,8,1,621,0,3,624,0
47,36,33,292,259,3,1,2,2,592,0,1,593,0
48,37,41,285,337,8,0,3,0,674,0,3,677,0
49,38,7,286,179,1,3,2,4,482,0,2,484,0
50,39,29,330,387,3,0,4,3,756,0,3,759,0
51,40,65,181,451,1,1,3,1,703,0,3,706,0
52,41,75,91,301,3,0,1,0,471,0,4,475,0
53,42,42,256,237,6,2,10,3,556,0,7,563,0
54,43,30,422,164,5,3,2,6,632,0,7,639,0
55,44,48,13,402,3,0,1,1,468,0,1,469,0
56,44A,43,7,321,3,0,1,1,376,0,1,377,0
57,45,14,296,190,3,1,3,5,512,0,3,515,1
58,45A,40,61,389,3,1,2,2,498,0,2,500,0
59,46,65,42,218,0,1,4,1,331,0,3,334,0
60,46A,89,5,386,1,1,1,0,483,0,1,484,0
61,47,98,173,424,3,3,2,1,704,0,4,708,0
62,48,20,225,266,2,0,0,1,514,0,3,517,0
63,49,62,315,228,1,2,1,3,612,0,6,618,0
64,50,44,243,176,1,0,3,2,469,0,2,471,0
65,50A,36,257,142,0,2,2,3,442,0,3,445,0
66,51,71,163,402,2,0,3,0,641,0,2,643,0
67,52,57,153,270,2,0,0,0,482,0,1,483,0
68,52A,72,101,345,2,1,0,2,523,0,0,523,0
69,53,103,317,305,4,2,4,5,740,0,12,752,0
70,54,51,274,256,3,2,4,1,591,0,4,595,0
71,55,15,177,198,4,1,2,3,400,0,1,401,0
72,55A,11,252,210,5,3,5,3,489,0,0,489,0
73,56,125,115,264,1,0,5,1,511,0,3,514,0
74,56A,29,226,233,2,2,6,1,499,0,3,502,0
75,57,10,238,200,1,3,4,1,457,0,2,459,0
76,58,13,182,273,6,4,10,3,491,0,4,495,1
77,58A,16,249,159,6,2,7,3,442,0,3,445,0
78,59,72,185,243,2,1,4,3,510,0,4,514,0
79,59A,30,107,261,0,2,4,2,406,0,5,411,0
80,60,59,184,266,3,1,3,3,519,0,0,519,0
81,60A,36,217,266,3,1,2,0,525,0,3,528,0
82,61,66,171,266,4,3,8,3,521,0,2,523,0
83,61A,81,72,305,1,1,2,2,464,0,6,470,0
84,62,120,8,340,2,0,4,1,475,0,0,475,0
85,63,193,84,216,3,4,5,2,507,0,7,514,0
86,63A,183,12,354,4,1,2,1,557,0,3,560,0
87,64,5,172,253,1,0,0,0,431,0,1,432,0
88,65,21,259,129,0,0,0,1,410,0,1,411,0
89,65A,8,327,174,5,2,2,4,522,0,2,524,0
90,66,20,358,312,4,5,5,5,709,0,5,714,0
91,67,215,71,364,3,0,1,0,654,0,1,655,0
92,68,68,275,182,5,3,6,5,544,0,3,547,0
93,69,10,398,233,5,3,2,8,659,0,3,662,0
94,70,18,177,256,5,3,4,2,465,0,1,466,0
95,71,42,288,305,4,3,7,7,656,0,3,659,0
96,72,14,207,363,3,2,0,5,594,0,4,598,0
97,73,37,285,227,3,0,5,6,563,0,10,573,0
98,74,175,20,404,1,1,2,1,604,0,4,608,0
99,75,36,532,209,6,3,1,3,790,0,10,800,0
100,76,28,245,287,4,1,2,2,569,0,2,571,0
101,77,44,289,87,1,2,2,2,427,0,4,431,0
102,78,26,249,214,1,6,7,11,514,0,5,519,0
103,79,16,368,184,3,3,6,8,588,0,5,593,0
104,80,54,228,108,2,1,0,2,395,0,2,397,0
105,80A,33,234,117,1,0,3,4,392,0,3,395,0
106,81,20,196,276,7,0,4,5,508,0,6,514,0
107,81A,10,316,78,3,6,6,2,421,0,6,427,0
108,82,2,269,219,3,0,4,5,502,0,2,504,0
109,83,9,377,61,6,8,6,6,473,0,9,482,0
110,84,7,375,190,3,4,5,5,589,0,3,592,0
111,85,13,222,139,1,0,3,1,379,0,1,380,0
112,86,3,348,330,5,2,2,6,696,0,1,697,0
113,87,11,320,250,0,1,2,4,588,0,4,592,0
114,88,4,244,199,4,4,4,4,463,0,3,466,0
115,89,16,476,28,3,0,0,5,528,0,4,532,0
116,90,86,11,429,2,2,3,1,534,0,2,536,0
117,91,20,163,303,1,1,1,1,490,0,3,493,0
118,92,32,69,484,6,4,3,0,598,0,3,601,0
119,93,71,9,414,4,2,1,0,501,0,0,501,0
120,94,48,68,463,4,5,5,1,594,0,2,596,0
121,95,45,143,379,0,0,2,0,569,0,2,571,0
122,96,20,251,289,4,4,3,2,573,0,5,578,0
123,97,37,171,214,10,2,3,5,442,0,7,449,0
124,97A,19,218,169,2,2,5,3,418,0,4,422,0
125,98,13,324,181,8,1,8,4,539,0,5,544,0
126,99,41,335,259,5,0,5,2,647,0,3,650,0
127,100,23,355,255,6,4,7,6,656,0,8,664,0
128,101,26,164,338,2,1,5,3,539,0,1,540,0
129,102,21,1,784,2,1,4,0,813,0,1,814,0
130,103,18,142,225,2,1,3,3,394,0,3,397,0
131,103A,9,129,221,5,2,6,1,373,0,5,378,0
132,104,42,170,394,3,4,2,4,619,0,5,624,0
133,105,63,21,569,1,2,1,0,657,0,3,660,0
134,106,49,76,450,3,2,5,0,585,0,4,589,0
135,107,19,43,589,3,3,3,2,662,0,2,664,0
136,108,16,2,415,2,1,1,1,438,0,2,440,0
137,109,12,18,493,0,0,2,1,526,0,2,528,0
138,109A,5,76,279,8,4,9,1,382,0,7,389,0
139,110,28,10,441,2,4,7,4,496,0,2,498,0
140,110A,18,3,427,1,0,3,0,452,0,0,452,0
141,111,10,284,317,5,0,6,3,625,0,2,627,0
142,112,28,205,452,9,2,10,2,708,0,10,718,0
143,113,21,1,479,0,0,0,0,501,0,0,501,0
144,113A,27,5,474,5,2,2,0,515,0,4,519,0
145,114,29,151,549,3,2,10,1,745,0,9,754,0
146,115,50,302,253,2,1,1,1,610,0,3,613,0
147,115A,93,142,299,5,0,0,2,541,0,7,548,0
148,116,71,285,310,6,0,5,3,680,0,8,688,0
149,117,97,226,262,4,3,1,0,593,0,4,597,0
150,118,109,75,429,3,0,2,2,620,0,0,620,0
151,119,46,201,311,5,1,2,2,568,0,4,572,0
152,120,30,332,118,3,1,1,1,486,0,5,491,0
153,121,54,342,358,1,2,2,0,759,0,9,768,0
154,122,57,351,444,6,1,6,4,869,0,5,874,0
155,123,33,194,252,1,0,1,1,482,0,0,482,0
156,123A,54,240,287,3,2,0,4,590,0,2,592,0
157,124,106,228,403,3,0,8,1,749,0,10,759,0
158,125,107,318,367,3,0,5,7,807,0,4,811,0
159,126,134,400,255,1,0,4,1,795,0,3,798,0
160,127,118,9,310,2,0,2,1,442,0,0,442,0
161,128,5,155,241,4,3,4,2,414,0,6,420,0
162,128A,12,134,240,8,1,7,3,405,0,8,413,0
163,129,18,217,297,6,0,0,0,538,0,4,542,0
164,129A,37,106,315,0,1,2,1,462,0,3,465,0
165,130,25,138,246,4,3,8,1,425,0,2,427,0
166,130A,48,145,219,4,1,5,2,424,0,3,427,0
167,131,42,59,530,3,1,3,2,640,0,6,646,0
168,131A,4,170,237,6,1,1,1,420,0,5,425,0
169,132,8,120,470,11,7,12,4,632,0,21,653,0
170,133,6,81,485,8,1,3,2,586,0,0,586,0
171,134,144,40,413,5,4,1,2,609,0,1,610,0
172,135,90,25,345,1,0,4,0,465,0,1,466,0
173,135A,62,79,271,0,2,2,3,419,0,2,421,0
174,136,105,19,278,3,1,1,0,407,0,2,409,0
175,136A,134,6,419,3,2,4,1,569,0,4,573,0
176,137,53,25,336,4,0,1,0,419,0,1,420,0
177,137A,25,203,290,4,1,4,3,530,0,3,533,0
178,138,86,27,396,0,0,1,0,510,0,0,510,0
179,139,3,118,194,1,2,4,5,327,0,2,329,0
180,139A,3,186,313,5,4,12,4,527,0,4,531,0
181,140,10,211,209,6,0,2,2,440,0,1,441,0
182,141,30,301,195,6,1,3,1,537,0,5,542,0
183,142,24,315,252,4,0,4,1,600,0,2,602,0
184,143,95,201,238,3,0,4,1,542,0,4,546,0
185,143A,30,180,161,3,3,2,0,379,0,4,383,0
186,144,64,268,260,7,0,2,5,606,0,3,609,0
187,144A,44,177,253,2,2,1,0,479,0,1,480,0
188,145,35,182,214,1,0,0,0,432,0,2,434,0
189,146,72,352,430,2,3,7,7,873,0,9,882,0
190,147,38,293,325,4,1,1,2,664,0,3,667,0
191,148,124,190,174,2,0,2,3,495,0,1,496,0
192,149,30,357,293,2,1,2,2,687,0,1,688,0
193,150,73,129,442,5,0,2,2,653,0,4,657,0
194,151,33,284,258,1,1,2,0,579,0,6,585,0
195,152,208,50,322,0,0,3,0,583,0,2,585,0
196,153,64,263,252,1,1,3,1,585,0,3,588,0
197,154,58,264,233,3,2,6,2,568,0,1,569,0
198,155,24,386,183,3,4,4,7,611,0,10,621,0
199,156,62,150,134,0,0,0,2,348,0,3,351,0
200,156A,31,193,165,0,0,1,0,390,0,3,393,0
201,157,84,146,209,4,0,0,0,443,0,1,444,0
202,158,66,385,241,2,0,7,4,705,0,6,711,0
203,159,26,75,301,1,0,2,1,406,0,2,408,0
204,159A,51,189,233,1,0,1,0,475,0,2,477,0
205,160,47,244,226,0,3,6,3,529,0,5,534,0
206,160A,40,228,235,7,1,2,3,516,0,3,519,0
207,161,49,217,192,2,0,2,0,462,0,2,464,0
208,161A,36,152,224,2,0,2,2,418,0,3,421,0
209,162,64,456,233,2,0,1,4,760,0,2,762,0
210,163,52,298,240,3,3,1,3,600,0,2,602,0
211,164,47,401,216,3,1,2,2,672,0,4,676,0
212,165,50,13,468,3,2,13,2,551,0,6,557,0
213,165A,31,147,378,3,2,5,1,567,0,7,574,0
214,166,25,284,156,2,3,1,2,473,0,4,477,0
215,166A,41,232,180,1,2,3,2,461,0,6,467,0
216,167,12,330,299,2,2,3,3,651,0,7,658,0
217,168,34,281,331,7,1,2,2,658,0,4,662,0
218,169,18,302,255,2,1,1,2,581,0,3,584,0
219,170,13,270,221,4,1,1,3,513,0,2,515,0
220,171,76,167,210,2,0,1,2,458,0,7,465,0
221,172,197,199,264,2,3,1,2,668,0,7,675,0
222,173,35,236,127,1,3,2,5,409,0,4,413,0
223,174,56,432,301,3,1,2,2,797,0,5,802,0
224,175,59,210,342,3,1,5,2,622,0,3,625,0
225,176,48,304,318,4,1,4,2,681,0,3,684,0
226,177,33,328,198,1,0,0,0,560,0,1,561,0
227,178,201,64,481,5,6,5,0,762,0,5,767,0
228,179,21,212,364,1,0,3,0,601,0,1,602,0
229,180,17,277,145,3,0,4,4,450,0,3,453,0
230,180A,35,248,141,2,0,0,5,431,0,3,434,0
231,181,15,360,259,6,5,3,1,649,0,4,653,0
232,182,40,162,105,1,2,0,4,314,0,1,315,0
233,182A,122,75,334,4,3,4,0,542,0,4,546,0
234,183,157,106,462,1,3,6,2,737,0,1,738,0
235,184,52,173,194,1,0,0,3,423,0,2,425,0
236,184A,163,8,354,4,2,2,2,535,0,3,538,0
237,185,24,465,303,7,2,2,5,808,0,2,810,0
238,186,26,347,214,3,2,5,2,599,0,3,602,0
239,187,41,316,339,2,5,5,4,712,0,5,717,0
240,188,23,292,90,4,0,1,0,410,0,1,411,0
241,189,17,362,223,2,3,7,5,619,0,6,625,0
242,190,143,82,297,2,3,1,2,530,0,0,530,0
243,191,14,301,88,2,2,1,2,410,0,2,412,0
244,191A,28,240,166,6,3,0,2,445,0,6,451,0
245,192,20,458,185,5,3,2,2,675,0,6,681,0
246,193,299,9,345,6,6,1,4,670,0,6,676,0
247,194,159,10,464,10,3,17,3,666,0,5,671,0
248,195,108,406,247,5,2,7,3,778,0,3,781,0
249,196,34,190,210,2,4,2,0,442,0,2,444,0
250,197,36,306,380,2,1,3,0,728,0,4,732,0
251,198,17,388,306,1,1,3,0,716,0,2,718,0
252,199,43,310,267,6,4,5,7,642,0,12,654,0
253,200,61,413,259,2,2,3,5,745,0,8,753,0
